category,model,train_mse_or_residual_std,mae,rmse,coverage,median_crps
regression,"LR1: constant + daily 24",521883.1678874560,538.0347942254,791.2829468981,0.9361702128,260.2999220945
regression,"LR2: linear trend + daily 24",513540.8918056494,458.6572450405,710.6563091085,0.9361702128,232.0942798272
regression,"LR3: linear trend + daily 24 + weekly 168",498776.2820947536,419.8776084423,675.7117132142,0.9787234043,209.1302383682
regression,"LR4: quadratic trend + daily 24 + weekly 168",497531.3378101914,437.4827492762,702.7991367646,0.9361702128,215.5827053348
regression,"LR5: linear trend + daily 24 + half-daily 12 + weekly 168",490046.5748510853,402.8931685698,644.7963375624,0.9787234043,235.4879203078
filter,"F1: Delta_24",904.6715552726,475.4868085106,734.9669729926,0.9787234043,310.5310720489
filter,"F2: Delta_1 Delta_24",1110.3361770258,753.5874730647,1043.3720341936,1.0000000000,1338.1594397518
filter,"F3: Delta_168",955.1391712599,616.9182607620,864.9003085845,0.9787234043,296.0362165881
filter,"F4: Delta_1 Delta_168",1176.4000880966,970.5178143509,1219.3217002847,1.0000000000,1402.3197319771
filter,"F5: Delta_24 Delta_168",1267.7236259017,832.6393857649,1308.2484558424,0.9361702128,456.3507815437
